BEL,"A low-lying country in the Benelux, Belgium (Dutch: België, French: Belgique, German: Belgien) sits at the crossroads of Western Europe. It marries the historical landmarks for which the continent is famous with spectacular modern architecture and rural idylls. Its capital, Brussels, is home to the headquarters of the European Union. Although Belgium is a relatively wealthy country, it is also one of the most politically complex countries in the world. Differences in language and culture between Flanders (the Dutch speaking portion) and Wallonia (the French speaking portion) have lead to several far-reaching reforms, and this continuing antagonism makes Belgian politics so complex that even ordinary Belgians aren't able to make sense of what's truly going on. Despite this all, the two halves form a country that contains some of Europe's most attractive and historical cities, and is a true 'must-see' for any visitor to the continent."
BOL,"Bolivia is a beautiful, geographically rich, and multiethnic country in the heart of South America, visited for its stunning mountain landscapes and vibrant indigenous culture."
BWA,"Botswana is a landlocked country in Southern Africa. Its economy, one of the most robust on the continent, is dominated by diamond mining and tourism. Botswana is famous for its wildlife, and areas like Tsodilo Hills, Chobe National Park, Moremi Game Reserve in the Okavango Delta, and the Central Kalahari Game Reserve have a very high concentration of game. The bulk of the Kalahari desert falls within Botswana's borders and Botswana is home to most of the world's San (Bushman) population."
BRA,"Brazil (Portuguese: Brasil) is the largest country in South America and the fifth largest in the world. Brazil is an incredibly diverse country, in people, culture, and landscapes—from the famous summer carnaval in Rio de Janeiro, Salvador, Olinda, and Recife to the wild power of nature in the Amazon and Iguaçu Falls. You'll find bustling cities, laid-back beaches, and traditional lifestyles, often right next to each other. Brazilian culture, which varies substantially across the country, comes from an international mix of European colonizers, African and Asian communities (notably in Salvador and São Paulo, respectively), and indigenous influence throughout the country."
BGR,"Bulgaria, officially the Republic of Bulgaria (Bulgarian: Република България), is a country in the Balkans, west of the Black Sea. Bulgaria boasts sublime beaches on its seaside, lovely churches and winter sport opportunities in its mountains, as well as a unique combination of architectural styles in each of its cities and towns. A medium-sized country (approximately the size of Cuba, Portugal or the state of Virginia), Bulgaria offers a wide diversity of landscapes, as well has numerous historical sites, each possessing its own unique beauty. Because of this all, there is a great number of tourism opportunities in the country."
KHM,"The Kingdom of Cambodia (កម្ពុជា) is in Southeast Asia. While Angkor Wat commemorates Cambodia's glorious history, the country has been ravaged by colonialism, the Indochina Wars, and the Khmer Rouge regime, and is today one of Asia's poorest countries."
CMR,"Cameroon (French: Cameroun) is a country in Central Africa. While not the largest country in Africa, in some ways Cameroon is as large as Africa itself. Western tourism is rare, though most of the country's tourists do come from Europe (predominantly Belgium). Cameroon is a diverse and multi-ethnic country. Known as ""Africa in Miniature"" it has French- and English-speaking portions, Muslim- and Christian-dominated regions, the tallest mountain in Central Africa and terrain that includes rain forest, desert plains, mountains and high plateau."
CAN,"Canada is the world's second largest country by area, behind only Russia. Nicknamed the Great White North, Canada is renowned for its vast untouched landscape, and its multicultural heritage. While much of Canada consists of forests, it also has more lakes than any other country, the Rocky Mountains, the Prairies, and a sparsely populated archipelago extending into the Arctic."
CHL,"Chile narrowly stretches along the southern half of the west coast of South America, between the Andes and the Pacific Ocean. It is an amazing country, from the dry Atacama Desert to the cold of Chilean Patagonia."
CHN,"China (中国; Zhōngguó) is one of the world's oldest civilizations. Its long and rich history is present in people's thinking and values, and in the art, architecture, and feats of engineering that remain from dynasties past. After a tumultuous 20th century, China has dramatically re-emerged as an economic powerhouse. Its rapid development has been paralleled by an ascent onto the international stage as a global superpower. Of course there are growing pains when high-rises and factories surge up to dwarf centuries-old pagodas, but there's also a strong sense of enthusiasm and optimism about what the future holds. If you visit now, you can see the relics of millennia of history and experience the signs of further transformations in progress."
COL,"Colombia occupies the northwest corner of South America. It has an area twice that of France and almost twice Texas, with long coasts on the Caribbean and the Pacific oceans, mountainous regions, and Amazon jungle areas inland. The ethnic groups and cultures are diverse. The country has something to offer almost any traveller. Pick a climate, and it's yours—if you find the light jacket weather of Bogotá cold, drive an hour down through the mountains and sunbathe next to the pool of your rented hacienda. If you don't want to sit still, head off into the Amazon or any of the country's other many inland jungles, snow-capped volcanoes, rocky deserts, endless plains, lush valleys, coffee plantations, mountain lakes, deserted beaches. For culture, intellectual Bogotá might lead the rest of Latin America in experimental theater, indie-rock, and the number of bookstores, but you could also get a completely alien education in an Amazonian malocca, or you could delve into the huge Latin music scene of salsa and cumbia, with the most exciting dance display being the enormous Carnival of Barranquilla. For history, wander the narrow streets of South America's original capital in Bogotá, check out old Spanish colonial provincial retreats like Villa de Leyva, trek through the thick jungle-covered mountains of the northeast to the Lost City of the Tayrona Indians, and walk the walls of Cartagena's achingly beautiful old city, looking over the fortified ramparts upon which the colonial history of South America pivoted. For nightlife, hot Cali is today's world capital of salsa, claiming that competitive distinction over Colombia's other vibrant big-city party scenes, which keep the music going long into the small hours of the morning. The hipsters' playground is found around the El Poblado neighbourhood in Medellín downtown. For dining, you'll find everything from the ubiquitous cheap, delicious Colombian home-style meals to world-class upscale and modern culinary arts in the big cities, with cuisines from all corners of the world represented. And for relaxing, there are gorgeous tropical beaches along Colombia's Caribbean and Pacific coasts, but you can find even more laidback and peaceful retreats on the idyllic and unspoilt Caribbean island of Providencia. The political violence has subsided substantially throughout the majority of the country and savvy travelers have already flocked here from around the world—come before everyone else catches on!"
CRI,"Costa Rica is a small country in Central America. This nation has bewilderingly diverse culture, climates, flora, and fauna, and landscapes range from rainforests, to dry tropical and temperate forests, to volcanoes, to Caribbean and Pacific beaches, to high mountains, and marshy lowlands. Costa Rica is an exceptionally stable and peaceful country compared to the volatile region it's in, and is one of the world's top destinations for nature and ecotourism. Owing in part to its comparative wealth, it can be a bit more expensive than its northern neighbors."
HRV,"Tourism in Croatia is a major industry of country's economy, accounting for almost 20% of gross domestic product (GDP).  The history of tourism in Croatia dates back to its time as part of Austria-Hungary when wealthy aristocrats would converge to the sea, but had expanded greatly in the 1960s and 70s under the economic policies of the former Yugoslavia. Today, Croatia is one of the most visited tourist destinations in the Mediterranean, with a total of 19.6 million tourists visiting in 2019.  Tourism in Croatia is concentrated in the areas along the Adriatic coast and is strongly seasonal, peaking in July and August. Eight areas in the country have been designated national parks, with an additional eleven as nature parks. Currently, there are ten sites in Croatia on the UNESCO List of World Heritage Sites."
CYP,"Cyprus (Greek: Κύπρος, Turkish: Kıbrıs) is an island in the eastern Mediterranean Sea, south of Turkey. It offers beautiful beaches and extensive historical and archaeological sites. There are three politically distinct areas in the island: the Republic of Cyprus (a member of the European Union) is a state with wide international recognition. However it only controls territory in the south. The Turkish Republic of Northern Cyprus is functionally a separate country, though it receives diplomatic recognition only from Turkey. The British military sovereign base areas of Akrotiri and Dhekelia, while legally separate from either republic, have open borders with the Republic of Cyprus."
DNK,"Denmark (Danish: Danmark) is the smallest of the Nordic countries in terms of landmass. Once the seat of Viking raiders and later a major north European naval power, the Kingdom of Denmark is the oldest kingdom in the world still in existence, but has evolved into a democratic, modern, and prosperous nation. These days, the Danish Vikings have parked their ships in the garage and put the helmets on the shelves, and along with the other Scandinavian nations, have forged a society that is often seen as a benchmark of civilisation; with progressive social policies, a commitment to free speech so strong it put the country at odds with much of the world during the 2006 cartoon crisis, a liberal social-welfare system and, according to The Economist, one of the most commercially competitive. Top it off with a rich, well-preserved cultural heritage, and the Danes' legendary sense of design and architecture, and you have one intriguing holiday destination. Dubbed in various surveys and polls throughout the years as the ""happiest country in the world"", it is often pictured as a romantic and safe place, likely linked to Hans Christian Andersen as a ""fairy tale"" on its own. Of course much more lies beneath the surface, but for the traveller, Denmark is likely to prove convenient, safe, clean, but also quite expensive to visit."
DOM,"The Dominican Republic (Spanish: República Dominicana) is a Caribbean country that occupies the eastern half of the island of Hispaniola, which it shares with Haiti. Besides white sand beaches and mountain landscapes, the country is home to the oldest European city in the Americas, now part of Santo Domingo."
ECU,"Ecuador is a country on the Equator in northwestern South America. Several places in the country have been declared UNESCO World Heritage Sites, including the Galapagos Islands and the cities of Quito and Cuenca, which lie in the Andes that run from north to south through the country. The Ecuadorian Andes are also home to some of the highest active volcanoes such as the Cotopaxi."
EGY,"The Arab Republic of Egypt (Arabic: مصر, màSr) is in north-eastern Africa. Egypt is perhaps best known as the home of the ancient Egyptian civilization, with its art, temples, hieroglyphs, mummies, and above all, its pyramids. Less well-known is Egypt's Coptic Christian and Muslim heritage, with ancient churches, monasteries and mosques dotted across the landscape. Egypt stimulates the imagination of tourists like few other countries."
SLV,"El Salvador is a country in Central America. Located halfway between Guatemala, to the northwest, and Honduras, to the northeast, the country has many natural riches, such as beautiful beaches on the Pacific coast, majestic forests in the mountains and striking volcanoes."
EST,"Estonia (Estonian: Eesti) is a Baltic gem offering visitors the chance to see a tiny dynamic land on the shores of the sea. The northernmost and smallest of the Baltic states, the country has charming old towns and heritage back to the Hanseatic League. Tallinn's medieval old town was built by the Germans in Middle Ages and is in magnificent condition, with the medieval city walls and towers almost completely intact, and it rates as one of Europe's best medieval old towns. Visitors can also experience an ex-Soviet republic that is now part of the European Union. Traces of the Soviet era are still there to be seen, e.g. Paldiski, a deserted Soviet army base that was once off-limits to Estonians themselves, can easily be visited on a day trip from the capital, Tallinn. Estonia is renowned for its bucolic islands and extensive bogs that are now national parks with easy access for tourists. Glorious beaches pepper the extensive coastline, although the swimming season is short—after all, the Baltics are not renowned for warm weather."
ETH,"Ethiopia (Amharic: ኢትዮጵያ ʾĪtyōp yā) is Africa's third-most populous country (after Nigeria and Egypt), oldest independent country and one of only two (the other Liberia) never to be colonized, save for a short Italian occupation in the 1930s and 1940s."
FIN,"Finland (Finnish: Suomi, Swedish: Finland) is one of the Nordic countries in northern Europe. The country has comfortable small towns and cities, as well as vast areas of unspoiled nature. About 10% of the area is made up by 188,000 lakes, with a similar number of islands. Finland extends into the Arctic, where the Northern Lights and the Midnight Sun can be seen. The mythical mountain of Korvatunturi is said to be the home of Santa Claus, and there is a Santaland in Rovaniemi. While Finland is a high-technology welfare state, Finns love to head to their summer cottages in the warmer months to enjoy all manner of relaxing pastimes including sauna, swimming, fishing and barbecuing during the short but bright summer. Finland has a distinctive language and culture that sets it apart from both Scandinavia and Russia. While Finnish culture is ancient, the country only became independent in 1917, shortly after the collapse of the Russian Empire."
FRA,"France is a country with which almost every traveller has a relationship. Many dream of its joie de vivre shown by the countless cafés, picturesque villages, and world-famous gastronomy. Some come to follow the trail of France's great philosophers, writers and artists, or to immerse in the beautiful language it gave to the world. Others still are drawn to the country's geographical diversity, with its long coastlines, massive mountain ranges and breathtaking farmland vistas. France has been the world's most-visited country for over twenty years. It received 89 million visitors in 2018. All these people come to France for many a reason: its cities contain some of the greatest treasures on the continent, its countryside is prosperous and well-tended, and it boasts dozens of major tourist attractions, including Europe's most popular, Disneyland Paris. France is one of the most geographically diverse countries in Europe, containing areas as different from each other as urban chic Paris, the sunny French Riviera, windswept Atlantic beaches, the snowy resorts of the French Alps, the Renaissance châteaux of the Loire Valley, rugged Celtic Brittany and the historian's dream that is Normandy. A country known for rich emotions, turbulent politics, rational thinking, and Enlightenment treasures; whatever you want from a holiday, you're about to find it in France."
GEO,"Georgia (Georgian: საქართველო, Sakartvelo) is a country in the Caucasus. Sandwiched between Russia in the north and Turkey in the south, it sits along the coast of the Black Sea around where Europe and Asia meet. It is a rather mountainous country and is home to some of Europe’s highest mountain peaks. Despite its modest size, Georgia presents a large mix of other landscapes and micro-climates, ranging from dry wine-growing valleys in the east, to lush Black Sea resorts in the west. In Greek mythology, Georgia, known as Colchis, was the site of the famous Golden Fleece sought by Jason and the Argonauts. The tales of Georgia's ancient history are not without foundation; modern archaeological evidence suggests that Georgia is the oldest wine-making country in the world, with some wine samples dating back to 6,000 years BC. In testament to this rich heritage, Georgia's cities and countryside are complete with medieval churches, several of which are UNESCO World Heritage Sites. Enjoying low levels of crime and corruption, since the mid-2000s Georgia has developed into a fast-growing destination. The country's tourist infrastructure continues to expand."
DEU,"Germany (German: Deutschland), officially the Federal Republic of Germany (Bundesrepublik Deutschland) is the largest country in Central Europe. Germany is politically, economically and culturally influential, and is the largest European Union member state by population and economic output. Known around the world for ""German engineering"" as well as world leading banking and insurance companies, it is equally admired by visitors for its old-world charm and Gemütlichkeit (cosiness). Discard any perceptions of Germany as simply homogeneous, and a country of surprising regional diversity awaits."
GHA,"Ghana is a country in West Africa whose good infrastructure, political stability and widespread use of English make it a gratifying destination for first-time visitors to Africa (it's sometimes called ""Africa for beginners""). The people are generally very helpful and welcoming. While their laid-back attitude and a lack of organised tourist sights or trips can be a little annoying to begin with, you'll quickly realise that it is one of the delights of this country. Tourism in Ghana is growing very quickly, and tour operators are seeing increased requests for Ghana as a travel destination. Ghana has gold mines, and is a stable country with good potential for growth."
GRC,"Greece (Greek: Ελλάς, Hellas or Ελλάδα, Ellada) is a country rich in history, culture and natural beauty. Ancient Greece was one of Europe's first urban civilizations, and the origin of much of the arts, language, philosophy, politics, and sports of western society. The cultural heritage and spectacular mountains and beaches draw tourists from far away. Much of the country consists of peninsulas and islands in the Aegean, Ionian, and Mediterranean Seas."
GTM,"Guatemala has a rich and distinctive culture from the extended mixing of elements from Spain and the Maya people who are native to Central America. This diverse history and the natural beauty of the land have created a destination rich in interesting and scenic sites. Guatemala is very tough land—you can experience volcanic activity, seismic activity (earthquakes, mudslides), and hurricanes."
HND,"Honduras has colonial villages (Gracias, Comayagua), ancient Maya ruins (Copán), natural parks (Moskitia), and a Pacific and Caribbean coastline and the Bay Islands, with great beaches and coral reefs where snorkeling and diving are exceptional by any standard. The second-biggest country in Central America, Honduras presents gigantic variety for traveling. The Mayan Ruins in Copan. Good amenities can be found in cities like Tegucigalpa, San Pedro Sula, La Ceiba, Tela, Utila, Roatán and at Copán Ruinas, but elsewhere conditions can be quite basic, especially in the rural areas. You can find good hotels even in small towns if you are willing to pay a bit more (Honduras is not really an expensive country). Nevertheless a visit is worthwhile, especially to the ancient Maya ruins in Copán Ruinas, the colonial towns of Gracias and Comayagua, and the fantastic Caribbean Coast."
HUN,"(Hungarian: Magyarország) is an EU member state featuring a gorgeous capital city, Budapest, and the largest lake in Central Europe, Balaton. Hungary offers many diverse destinations: relatively low mountains in the north-west, the Great Plain in the east, lakes and rivers of all sorts, and many beautiful small villages and hidden gems of cities. Top this off with Hungary's great accessibility in the middle of Europe, a vivid culture and economy, and you get a destination absolutely worth visiting if you're in the region."
ISL,"Iceland (Icelandic: Ísland) is an island nation in the north Atlantic Ocean. Iceland is one of the Nordic countries, and therefore culturally part of Europe. The name Iceland is a misnomer: while glaciers cover 10% of the land, the climate is mild for its latitude, and volcanic activity keeps the country warm. Settled during the Viking Age, Iceland has the world's oldest surviving parliament, the Alþingi. It is known as the Land of Fire and Ice."
IND,"India (Hindi: भारत or Bhārat), the largest country in South Asia, has many of the world's highest mountains, most populated cities, and longest rivers. India's heritage and culture is a rich amalgam of the past and present. This vast country, the second most populous in the world and set to become number one, offers the traveller a view of fascinating religions and ethnography, a smorgasbord of languages, and architectural masterpieces that were built millennia ago and remain intact today. As the nation opens up to a globalised world, India still has a depth of history and intensity of culture that awe and fascinate the many who visit there."
IDN,"Indonesia is a huge archipelago of diverse islands scattered over both sides of the Equator between the Indian Ocean and the Pacific Ocean. With an extensive, but quickly carved out amount of green forests on all of its islands and halfway between the poles, Indonesia is nicknamed The Emerald of the Equator."
IRN,"Iran (Persian: ایران), formerly Persia, can be considered part of the Middle East or Central Asia; indeed the Persian Empire was the dominant Central Asian power for many centuries. The wellspring of one of the world's great civilizations, Iran is a country of striking natural beauty and gorgeous tiled mosques. Once the centre of a pro-Western monarchy, it became an Islamic Republic in 1979, and since then, its history has been tumultuous.  Iran is a melting pot of different cultures, with Persians, Azerbaijanis, and Kurds constituting the largest ethnic groups. Shia Islam is the state religion, although there is a sizeable portion of Sunnis."
IRL,"Ireland (Irish: Éire), also known as the Republic of Ireland (Irish: Poblacht na hÉireann), has a rich culture that, along with its people, has been exported around the world. Gaelic culture is alive and well; one way to experience it is to go to a pub which has a traditional music session on. The Irish language has declined and English is now the most common language, though there are still certain areas where Irish is the primary language. It can be worth your while to dig a little deeper before visiting Ireland to discover something about the older world that lies beneath. It is still living, though not always visible. Some Irish history has been very dark indeed, but it remains a land of poets, story-tellers, and musicians, with marvellous scenery, an advanced knowledge economy, first-rate infrastructure, and leading industries, with a high gross domestic product and standard of living."
ISR,"The State of Israel (Hebrew: מדינת ישראל Medinat Yisra'el; Arabic: دولة إسرائيل) is a small yet diverse Middle Eastern country.  The modern State of Israel was established in 1948 as a homeland for the Jewish people, but the region contains thousands of years of history for many peoples and religions in addition to the Jews. Israel is considered part of the Holy Land (together with areas of Jordan, Egypt and the Palestinian territories). The three major Abrahamic religions of Judaism, Christianity and Islam, as well as the Baha'i faith, were founded or have strong ties to this land, and their holy and historic sites are major destinations for pilgrims and tourists from around the world. The Israeli population is about 74% Jews, 21% Arabs, and 5% non-Arab Christians and others. Most of the Jews are descended from Olim (""returnees"" from the Jewish Diaspora), and their diverse origins (Russian, German, Moroccan, Yemenite, and Ethiopian, to name a few of the prominent ones) can be seen in various aspects of modern Israeli culture. In contrast to its long ancient history, Israel is a highly urbanized, economically developed, first-world society. Unfortunately it is still in conflict with the Palestinians and some of its other Arab neighbors, and sometimes you will see signs of these tensions, but you will almost never be in danger (though there are places you should be more cautious like the West Bank). Although it's in Asia, due to hostility from the Arab countries, Israel participates in European rather than Asian regional bodies. Since 1967, Israel has controlled most of the West Bank (often called ""Judea and Samaria"" in Israel) as well as the Golan Heights. Israel has annexed East Jerusalem and the Golan, but most other countries, except the United States, reject the annexation, and consider these areas and the West Bank (which Israel did not annex, and Israeli law does not apply to the area) to be occupied Palestinian territory. Wikivoyage takes no stance on these political issues, but notes that in practice, current visitors to these areas will need Israeli visas and permits."
ITA,"Italy (Italian: Italia), officially the Italian Republic (Repubblica italiana), was once the core of the mighty Roman Empire, and the cradle of the Renaissance. It is also home to the greatest number of UNESCO World Heritage Sites in the world, including high art and monuments. Italy is famous for its delicious cuisine, trendy fashions, luxury sports cars and motorcycles, diverse regional cultures and dialects, as well as for its various landscapes from the seas to the Alps and Apennines, which makes reason for its nickname Il Bel Paese (the Beautiful Country)."
JAM,Jamaica is an island nation in the Caribbean.
JPN,"Japan, known as Nihon or Nippon (日本) in Japanese, is an island nation in East Asia. Its insular character has allowed it to develop a unique and very intricate culture, while its closeness to other ancient Far Eastern cultures, in particular China, has left lasting influence. Despite belonging to a nation long at war, both internal and foreign, Japan's people have always placed emphasis on inner balance, tranquility and natural beauty. These traditional values have become increasingly important now that Japan has grown to be one of the world's most densely-populated countries, and its legendary work ethic makes life in its cities quite hectic. Japan's sophisticated cuisine has spread to all corners of the world, but it is only in the country of its birth where you can appreciate its true form. Even more fascinating is the country's popular culture, which has developed a fandom all over the world, in particular manga comics and anime cartoons — with the Japanese taking their affinity for their favorite characters and themes to the extreme. In the 20th century, Japan enjoyed impressive economic growth, putting it among the world's most affluent nations today. This was mostly driven by rapid modernization and specialization in high technology. Japan is now full of contrasts between the living tradition and much cherished heritage, and its ultra-modern infrastructure, buildings and facilities. While the Japanese are known to be reserved and their language skills are not their strongest asset, they will go out of their way to make you feel a welcome visitor. Japanese retail businesses are also known for their legendary customer service, and visitors from overseas are often surprised at the lengths service staff would go to satisfy the demands of customers."
JOR,"Jordan (Arabic: الأردنّ al-Urdunn) is an Arab kingdom in the Middle East, at the crossroads of Asia, Africa and Europe. The capital, Amman, is Jordan's most populous city and the country's economic and cultural centre. Jordan has a large collection of archaeological sites, ranging from important biblical attractions to temples carved into the rock."
KAZ,"Kazakhstan is the largest of the states of the former Soviet Union apart from Russia, and it dwarfs the other countries of Central Asia. Kazakhstan is the richest country in the region due to its large oil and natural gas reserves and is also the largest in Central Asia. And while the endless, featureless steppe might repel some visitors the emptiness and mystery of this goliath state keeps many others captivated."
KEN,"The East African country of Kenya is a pearl in sub-Saharan Africa. From the scenic sandy beaches at the coast, to the Nairobi National Park (the only one in a capital city in the world), to the majestic Rift Valley, the bird life in Lake Naivasha, the hot boiling springs of Lake Baringo, Lake Turkana and Lake Victoria, Kenya is a very beautiful country with lots of wildlife and scenic features, and is one of the major economic hubs in Africa."
KWT,"Kuwait (Arabic: الكويت) is a monarchy situated at the Persian Gulf, nestled between Iraq and Saudi Arabia. Historically, Kuwait was a strategic trade port between Mesopotamia, India, and Persia. Like many of its neighbours, Kuwait is endowed with oil and gas wealth."
LVA,"Latvia (Latvian: Latvija) is one of the three Baltic states in Europe. The biggest travel destination in the country is the capital Riga, whose Old Town is a World Heritage Site. There are many other great places to see, both urban and rural. Latvia's unspoilt sea coast is a 500-km-long unique biome, mainly consisting of empty beaches, whitest soft sands, dunes covered with pine trees, sandy cliffs, and pine forests. Forests cover approximately half of Latvia's territory and are home to many nature trails, nature parks and wildlife preserves. The city of Liepāja with its magnificent beach and the unique formerly secret military neighbourhood of Karosta, Kuldīga with Europe's widest waterfall, and Cēsis with its medieval castle ruins are just some of the various sights."
LBN,"The tourism industry in Lebanon has been important to the local economy historically and to this day comprises a major source of revenue for the country. Before the Lebanese Civil War, Beirut was widely regarded as ""The Paris of the Middle East"" or also ""The Pearl of the Middle East"" often cited as a financial and business hub where visitors could experience Levantine Mediterranean culture, cuisine, history, archaeology, and architecture of Lebanon. From Stone Age settlements to Phoenician city-states, from Roman temples to rock-cut hermitages, from Crusader Castles to Mamluk mosques and Ottoman hammams, the country's historical and archaeological sites are displayed all across the country, reflecting thousands of years of world history. In addition to physical attractions, Lebanon has a long-standing history of cultural tourism. Outsider interest in Lebanese and Levantine culture was especially stirred following the visits of many European orientalists, scholars, and poets, particularly Alphonse de Lamartine, Ernest Renan, and Victor Guérin. Lebanon's diverse atmosphere and ancient history make it an important destination, and the country is slowly rebuilding itself after continued turmoil. Lebanon offers plenty: from ancient Roman ruins, to well-preserved castles, limestone caves, historic Churches and Mosques, beautiful beaches nestled in the Mediterranean Sea, world-renowned Lebanese cuisine, nonstop nightlife and discothèques, to mountainous ski resorts. Significant private investment is currently being made in the modernization and expansion of the tourism sector, such as in hotels catering to international travelers. Casino du Liban, which historically constituted a major tourist destination, reopened in 1996. The largest ski resort in the country has been expanded and modernized. The Government believes that, because of the return of peace and stability to the country following the civil war, and with the development of the necessary infrastructure, tourism will again contribute significantly to Lebanon's economy. Lebanon's tourism industry also relies on the large number of Lebanese living abroad, who return regularly to the country during the summer season."
LTU,Lithuania (Lithuanian: Lietuva) is a Baltic country in northeastern Europe.
LUX,"The Grand Duchy of Luxembourg (Luxembourgish: Groussherzogtum Lëtzebuerg, French: Grand-Duché de Luxembourg, German: Großherzogtum Luxemburg), is a landlocked Benelux country at the crossroads of Germanic and Latin cultures. With successful steel, finance and high technology industries, a strategic location at the heart of Western Europe, more natural beauty than you might expect given its size, and as one of the top three richest countries in the world, Luxembourg enjoys a very high standard of living and has prices to match!"
MYS,"Malaysia is a country in Southeast Asia, on the Malay Peninsula, as well as on northern Borneo. The country is one of Asia's new tiger economies, having seen great economic and human development during the last decades. While the capital Kuala Lumpur is a cosmopolitan city, deep jungles cover some of the land."
MLT,"Malta is an island country forming an archipelago in the middle of the Mediterranean Sea. Positioned between Sicily and North Africa, the country is the smallest member of the European Union by population, with only half a million people, but also by area, making it the fourth-most densely populated country in the world while being the tenth-smallest. Despite its diminutive size, Malta is an important freight trans-shipment point, financial centre and tourist destination. Thanks to its strategic position, Malta has been continuously inhabited since prehistoric times, as well as conquered by pretty much all the civilisations with interest in Mediterranean domination, including the Phoenicians, Carthaginians, Romans, Byzantines, Arabs, Sicilians and, most recently, the British. All of them, as well as intensive trading across the region, left both material and cultural heritage on the islands, but the Maltese and their language remains unique in great many ways. With universal knowledge and use of English among the population and a wealth of both man-made structures from all eras of human existence and sites of exceptional natural beauty, Malta has been a very popular holiday destination for decades. There are also a number of aquatic activities to enjoy. Northern Malta is home to the country's beach resorts and holiday areas. Gozo and Comino, the country's two smaller islands, are also popular beach spots, although these tend to be quieter, rockier and better for snorkelling. The Mediterranean Sea surrounding Malta is popular for diving, and experienced divers may be able to find historical artefacts from World War II or earlier."
MUS,"Mauritius (French: Maurice, Mauritian Creole: Moris) is an island nation in the Indian Ocean about from the African continent. Mauritius is mostly appreciated by visitors for its natural beauty and man-made attractions, multi-ethnic and cultural diversity, tropical climate, beautiful beaches and water sports."
MEX,"Mexico (Spanish: México) is known for its cuisine, art, archaeology, history, pyramids, music, museums, haciendas, 9,600 km (6,000 miles) of shoreline, superb architecture, weather from snow-capped mountains in the Sierras to rainy jungles in the Southeast and desert in the Northwest, many golf courses and excellent fishing. The once poor nation is one of the Pacific Pumas, seeing significant economic growth and improved infrastructure in the last several decades."
