Region,Continent,Location
"Europe and Africa",Europe,France
"Europe and Africa",Europe,Georgia
"Europe and Africa",Europe,Germany
"Europe and Africa",Europe,Greece
"Europe and Africa",Europe,Hungary
"Europe and Africa",Europe,Iceland
"Europe and Africa",Europe,Ireland
"Europe and Africa",Europe,Italy
"Europe and Africa",Europe,Latvia
"Europe and Africa",Europe,Liechtenstein
"Europe and Africa",Europe,Lithuania
"Europe and Africa",Europe,Luxembourg
"Europe and Africa",Europe,Macedonia
"Europe and Africa",Europe,Malta
"Europe and Africa",Europe,Moldova
"Europe and Africa",Europe,Monaco
"Europe and Africa",Europe,Montenegro
"Europe and Africa",Europe,Netherlands
"Europe and Africa",Europe,North Macedonia
"Europe and Africa",Europe,Norway
"Europe and Africa",Europe,Poland
"Europe and Africa",Europe,Portugal
"Europe and Africa",Europe,Romania
"Europe and Africa",Europe,San Marino
"Europe and Africa",Europe,Serbia
"Europe and Africa",Europe,Slovakia
"Europe and Africa",Europe,Slovenia
"Europe and Africa",Europe,Spain
"Europe and Africa",Europe,Sweden
"Europe and Africa",Europe,Switzerland
"Europe and Africa",Europe,Ukraine
"Europe and Africa",Europe,United Kingdom
"Europe and Africa",Europe,Vatican City
Americas,North America,Antigua and Barbuda
Americas,North America,Bahamas
Americas,North America,Barbados
Americas,North America,Belize
Americas,North America,Canada
Americas,North America,Costa Rica
Americas,North America,Cuba
Americas,North America,Dominica
Americas,North America,Dominican Republic
Americas,North America,El Salvador
Americas,North America,Grenada
Americas,North America,Guatemala
Americas,North America,Haiti
Americas,North America,Honduras
Americas,North America,Jamaica
Americas,North America,Mexico
Americas,North America,Nicaragua
Americas,North America,Panama
Americas,North America,Saint Kitts and Nevis
Americas,North America,Saint Lucia
Americas,North America,Saint Vincent and the Grenadines
Americas,North America,Trinidad and Tobago
Americas,North America,United States
"Asia-Pacific",Oceania,Australia
"Asia-Pacific",Oceania,Fiji
"Asia-Pacific",Oceania,Kiribati
"Asia-Pacific",Oceania,Marshall Islands
"Asia-Pacific",Oceania,Micronesia
"Asia-Pacific",Oceania,Nauru
"Asia-Pacific",Oceania,New Zealand
"Asia-Pacific",Oceania,Palau
"Asia-Pacific",Oceania,Papua New Guinea
"Asia-Pacific",Oceania,Samoa
"Asia-Pacific",Oceania,Solomon Islands
"Asia-Pacific",Oceania,Tonga
"Asia-Pacific",Oceania,Tuvalu
"Asia-Pacific",Oceania,Vanuatu
Americas,South America,Argentina
Americas,South America,Bolivia
Americas,South America,Brazil
Americas,South America,Chile
Americas,South America,Colombia
Americas,South America,Ecuador
Americas,South America,Guyana
Americas,South America,Paraguay
Americas,South America,Peru
Americas,South America,Suriname
Americas,South America,Uruguay
Americas,South America,Venezuela
