Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2017,2019
AGO,Angola,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,140,,130
AGO,Angola,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,1.29,,1.95
AGO,Angola,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,141,,127
AGO,Angola,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,5.46,,5.35
AGO,Angola,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,13,,79
AGO,Angola,3554,"WEF Environmental sustainability, 1-7 (best)",Value,3.41,,4.1
AGO,Angola,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,120,,94
AGO,Angola,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,1.96,,1.73
AGO,Angola,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,114,,128
AGO,Angola,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,2.07,,1.95
AGO,Angola,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,140,,136
AGO,Angola,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,2.44,,2.75
AGO,Angola,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,129,,111
AGO,Angola,3562,"WEF Natural resources pillar, 1-7 (best)",Value,2.34,,2.24
AGO,Angola,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,106,,115
AGO,Angola,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,1.24,,1.17
AGO,Angola,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,122,,122
ALB,Albania,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,3.22,3.35,3.58
ALB,Albania,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,106,98,86
ALB,Albania,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,4.68,4.81,4.97
ALB,Albania,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,69,67,64
ALB,Albania,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,3.59,3.94,4.25
ALB,Albania,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,122,103,95
ALB,Albania,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,3.04,2.99,3.08
ALB,Albania,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,90,85,88
ALB,Albania,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,1.59,1.66,2.04
ALB,Albania,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,135,128,94
ALB,Albania,3534,"WEF Business environment, 1-7 (best)",Value,4.11,4.07,4.02
ALB,Albania,3535,"WEF Business environment, 1-7 (best)",Rank,93,109,109
ALB,Albania,3536,"WEF Safety and security pillar, 1-7 (best)",Value,5.34,,5.77
ALB,Albania,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,70,,47
ALB,Albania,3538,"WEF Health and hygiene, 1-7 (best)",Value,5.22,5.22,5.28
ALB,Albania,3539,"WEF Health and hygiene, 1-7 (best)",Rank,72,73,74
ALB,Albania,3540,"WEF Human resources and labour market, 1-7 (best)",Value,4.68,4.9,5.08
ALB,Albania,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,56,39,31
ALB,Albania,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,4.07,4.14,4.69
ALB,Albania,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,73,82,69
ALB,Albania,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,4.03,4.56,5.27
ALB,Albania,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,105,74,52
ALB,Albania,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,2.34,2.4,2.42
ALB,Albania,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,106,107,116
ALB,Albania,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,4.38,4.7,5.26
ALB,Albania,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,93,83,89
ALB,Albania,3554,"WEF Environmental sustainability, 1-7 (best)",Value,3.6,4.11,4.3
ALB,Albania,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,109,72,62
ALB,Albania,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,2.16,2,2.1
ALB,Albania,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,97,109,105
ALB,Albania,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,3.01,3.06,3.11
ALB,Albania,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,95,77,81
ALB,Albania,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,3.94,3.91,4.01
ALB,Albania,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,79,77,73
ALB,Albania,3562,"WEF Natural resources pillar, 1-7 (best)",Value,2.03,2.19,2.89
ALB,Albania,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,128,123,72
ALB,Albania,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,1.14,1.14,1.19
ALB,Albania,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,127,131,118
ARE,United Arab Emirates,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,4.43,4.49,4.43
ARE,United Arab Emirates,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,24,29,33
ARE,United Arab Emirates,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,5.74,5.84,5.77
ARE,United Arab Emirates,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,16,14,17
ARE,United Arab Emirates,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,4.27,4.38,4.43
ARE,United Arab Emirates,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,52,54,73
ARE,United Arab Emirates,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,5.48,5.37,5.25
ARE,United Arab Emirates,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,8,10,13
ARE,United Arab Emirates,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,2.24,2.38,2.28
ARE,United Arab Emirates,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,75,74,73
ARE,United Arab Emirates,3534,"WEF Business environment, 1-7 (best)",Value,5.9,5.85,5.63
ARE,United Arab Emirates,3535,"WEF Business environment, 1-7 (best)",Rank,4,5,9
ARE,United Arab Emirates,3536,"WEF Safety and security pillar, 1-7 (best)",Value,6.6,,6.33
ARE,United Arab Emirates,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,3,,7
ARE,United Arab Emirates,3538,"WEF Health and hygiene, 1-7 (best)",Value,5.28,5.44,5.43
ARE,United Arab Emirates,3539,"WEF Health and hygiene, 1-7 (best)",Rank,69,63,66
ARE,United Arab Emirates,3540,"WEF Human resources and labour market, 1-7 (best)",Value,5.15,5.21,5.1
ARE,United Arab Emirates,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,22,23,26
ARE,United Arab Emirates,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,5.76,6.09,6.38
ARE,United Arab Emirates,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,16,15,4
ARE,United Arab Emirates,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,4.97,5.07,5.93
ARE,United Arab Emirates,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,39,31,21
ARE,United Arab Emirates,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,2.77,2.96,3.02
ARE,United Arab Emirates,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,85,75,83
ARE,United Arab Emirates,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,4.95,5.02,5.53
ARE,United Arab Emirates,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,45,56,64
ARE,United Arab Emirates,3554,"WEF Environmental sustainability, 1-7 (best)",Value,4.39,4.48,4.47
ARE,United Arab Emirates,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,41,40,41
ARE,United Arab Emirates,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,5.91,5.84,5.67
ARE,United Arab Emirates,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,3,3,4
ARE,United Arab Emirates,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,5.06,4.89,4.46
ARE,United Arab Emirates,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,20,19,31
ARE,United Arab Emirates,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,5.46,5.37,5.63
ARE,United Arab Emirates,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,26,27,22
ARE,United Arab Emirates,3562,"WEF Natural resources pillar, 1-7 (best)",Value,2.51,2.57,2.37
ARE,United Arab Emirates,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,95,91,103
ARE,United Arab Emirates,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,1.97,2.18,2.19
ARE,United Arab Emirates,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,53,50,45
ARG,Argentina,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,3.9,4.05,4.15
ARG,Argentina,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,57,50,50
ARG,Argentina,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,4.45,4.74,4.85
ARG,Argentina,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,81,69,69
ARG,Argentina,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,3.65,3.72,4.01
ARG,Argentina,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,119,116,115
ARG,Argentina,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,3.27,3.29,3.43
ARG,Argentina,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,79,69,72
ARG,Argentina,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,4.23,4.45,4.32
ARG,Argentina,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,14,13,14
ARG,Argentina,3534,"WEF Business environment, 1-7 (best)",Value,2.67,3.14,3.34
ARG,Argentina,3535,"WEF Business environment, 1-7 (best)",Rank,140,132,135
ARG,Argentina,3536,"WEF Safety and security pillar, 1-7 (best)",Value,5.03,,5.11
ARG,Argentina,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,88,,99
ARG,Argentina,3538,"WEF Health and hygiene, 1-7 (best)",Value,6.2,6.38,6.47
ARG,Argentina,3539,"WEF Health and hygiene, 1-7 (best)",Rank,26,18,14
ARG,Argentina,3540,"WEF Human resources and labour market, 1-7 (best)",Value,4.2,4.58,4.49
ARG,Argentina,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,99,69,77
ARG,Argentina,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,4.16,4.65,4.87
ARG,Argentina,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,71,61,64
ARG,Argentina,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,4.54,4.61,4.76
ARG,Argentina,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,70,66,78
ARG,Argentina,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,2.77,2.77,3.06
ARG,Argentina,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,84,89,81
ARG,Argentina,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,3.97,4.06,4.9
ARG,Argentina,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,112,119,109
ARG,Argentina,3554,"WEF Environmental sustainability, 1-7 (best)",Value,3.32,3.44,3.43
ARG,Argentina,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,128,125,136
ARG,Argentina,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,2.55,2.72,3.09
ARG,Argentina,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,75,66,62
ARG,Argentina,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,2.63,2.6,2.66
ARG,Argentina,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,114,100,103
ARG,Argentina,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,4.64,4.53,4.53
ARG,Argentina,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,55,54,55
ARG,Argentina,3562,"WEF Natural resources pillar, 1-7 (best)",Value,4.08,4.36,4.49
ARG,Argentina,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,27,25,16
ARG,Argentina,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,4.37,4.54,4.16
ARG,Argentina,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,14,14,14
ARM,Armenia,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,3.42,3.53,3.71
ARM,Armenia,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,89,84,79
ARM,Armenia,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,5,5.16,5.25
ARM,Armenia,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,57,51,50
ARM,Armenia,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,3.9,3.93,4.42
ARM,Armenia,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,95,104,74
ARM,Armenia,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,3.14,3,3.19
ARM,Armenia,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,84,84,81
ARM,Armenia,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,1.63,2,1.98
ARM,Armenia,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,130,107,103
ARM,Armenia,3534,"WEF Business environment, 1-7 (best)",Value,4.62,4.87,4.98
ARM,Armenia,3535,"WEF Business environment, 1-7 (best)",Rank,50,39,31
ARM,Armenia,3536,"WEF Safety and security pillar, 1-7 (best)",Value,5.8,,5.83
ARM,Armenia,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,38,,40
ARM,Armenia,3538,"WEF Health and hygiene, 1-7 (best)",Value,5.92,5.91,5.99
ARM,Armenia,3539,"WEF Health and hygiene, 1-7 (best)",Rank,48,48,44
ARM,Armenia,3540,"WEF Human resources and labour market, 1-7 (best)",Value,4.48,4.84,4.77
ARM,Armenia,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,71,45,52
ARM,Armenia,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,4.16,4.34,4.7
ARM,Armenia,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,69,71,68
ARM,Armenia,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,4.43,4.58,5.13
ARM,Armenia,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,80,71,57
ARM,Armenia,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,2.78,2.6,3.21
ARM,Armenia,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,83,95,74
ARM,Armenia,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,4.58,4.79,5.75
ARM,Armenia,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,77,80,30
ARM,Armenia,3554,"WEF Environmental sustainability, 1-7 (best)",Value,3.79,3.77,4.04
ARM,Armenia,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,97,102,101
ARM,Armenia,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,2.26,2.2,2.39
ARM,Armenia,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,92,88,88
ARM,Armenia,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,2.98,2.86,2.83
ARM,Armenia,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,97,88,91
ARM,Armenia,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,4.18,3.94,4.33
ARM,Armenia,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,73,74,62
ARM,Armenia,3562,"WEF Natural resources pillar, 1-7 (best)",Value,1.88,2.6,2.51
ARM,Armenia,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,136,89,95
ARM,Armenia,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,1.38,1.4,1.45
ARM,Armenia,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,99,99,91
AUS,Australia,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,4.98,5.1,5.14
AUS,Australia,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,7,7,7
AUS,Australia,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,5.57,5.68,5.65
AUS,Australia,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,22,21,20
AUS,Australia,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,4.14,4.53,4.75
AUS,Australia,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,70,34,28
AUS,Australia,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,4.98,5.11,5.23
AUS,Australia,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,20,14,14
AUS,Australia,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,5.22,5.08,4.94
AUS,Australia,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,7,10,11
AUS,Australia,3534,"WEF Business environment, 1-7 (best)",Value,5.04,5.05,5.07
AUS,Australia,3535,"WEF Business environment, 1-7 (best)",Rank,28,31,30
AUS,Australia,3536,"WEF Safety and security pillar, 1-7 (best)",Value,6.24,,6.1
AUS,Australia,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,13,,19
AUS,Australia,3538,"WEF Health and hygiene, 1-7 (best)",Value,6.14,6.14,6.21
AUS,Australia,3539,"WEF Health and hygiene, 1-7 (best)",Rank,29,32,27
AUS,Australia,3540,"WEF Human resources and labour market, 1-7 (best)",Value,4.72,5.13,5.1
AUS,Australia,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,49,29,29
AUS,Australia,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,5.73,5.97,5.78
AUS,Australia,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,17,18,26
AUS,Australia,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,4.81,5.06,5.9
AUS,Australia,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,52,32,22
AUS,Australia,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,4.04,4.77,4.88
AUS,Australia,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,31,2,2
AUS,Australia,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,3.06,3.82,4.43
AUS,Australia,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,138,128,130
AUS,Australia,3554,"WEF Environmental sustainability, 1-7 (best)",Value,4.64,4.49,4.4
AUS,Australia,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,25,38,49
AUS,Australia,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,5.8,5.69,6.05
AUS,Australia,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,4,4,2
AUS,Australia,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,3.69,3.57,3.58
AUS,Australia,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,57,53,55
AUS,Australia,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,5.44,6.06,6.06
AUS,Australia,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,29,8,9
AUS,Australia,3562,"WEF Natural resources pillar, 1-7 (best)",Value,5.31,5.21,5.5
AUS,Australia,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,2,6,3
AUS,Australia,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,5.13,4.95,4.38
AUS,Australia,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,9,11,13
AUT,Austria,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,4.82,4.86,4.95
AUT,Austria,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,12,12,11
AUT,Austria,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,5.84,5.86,5.88
AUT,Austria,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,7,11,12
AUT,Austria,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,4.53,4.71,4.93
AUT,Austria,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,15,10,7
AUT,Austria,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,5.42,5.27,5.36
AUT,Austria,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,9,12,12
AUT,Austria,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,3.5,3.59,3.65
AUT,Austria,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,25,24,22
AUT,Austria,3534,"WEF Business environment, 1-7 (best)",Value,4.94,4.96,4.84
AUT,Austria,3535,"WEF Business environment, 1-7 (best)",Rank,31,34,40
AUT,Austria,3536,"WEF Safety and security pillar, 1-7 (best)",Value,6.47,,6.19
AUT,Austria,3537,"WEF Safety and security pillar, 1-7 (best)",Rank,5,,14
AUT,Austria,3538,"WEF Health and hygiene, 1-7 (best)",Value,6.97,6.71,6.99
AUT,Austria,3539,"WEF Health and hygiene, 1-7 (best)",Rank,1,3,1
AUT,Austria,3540,"WEF Human resources and labour market, 1-7 (best)",Value,5.09,5.52,5.29
AUT,Austria,3541,"WEF Human resources and labour market, 1-7 (best)",Rank,26,9,20
AUT,Austria,3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Value,5.7,5.84,6.07
AUT,Austria,3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)",Rank,19,22,16
AUT,Austria,3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Value,5.52,5.33,5.88
AUT,Austria,3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)",Rank,16,19,24
AUT,Austria,3550,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Value,3.99,4.01,4.01
AUT,Austria,3551,"WEF International Openness and Travel Facilitation pillar,  1-7 (best)",Rank,33,39,39
AUT,Austria,3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Value,3.49,3.86,4.69
AUT,Austria,3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)",Rank,132,125,120
AUT,Austria,3554,"WEF Environmental sustainability, 1-7 (best)",Value,5.13,5.63,5.68
AUT,Austria,3555,"WEF Environmental sustainability, 1-7 (best)",Rank,8,2,3
AUT,Austria,3556,"WEF Air transport infrastructure, 1-7 (best)",Value,4.01,3.89,4.2
AUT,Austria,3557,"WEF Air transport infrastructure, 1-7 (best)",Rank,32,33,34
AUT,Austria,3558,"WEF Ground and port infrastructure, 1-7 (best)",Value,5.42,5.25,5.22
AUT,Austria,3559,"WEF Ground and port infrastructure, 1-7 (best)",Rank,15,12,13
AUT,Austria,3560,"WEF Tourist service infrastructure pillar, 1-7 (best)",Value,6.83,6.67,6.66
AUT,Austria,3561,"WEF Tourist service infrastructure pillar, 1-7 (best)",Rank,1,1,2
AUT,Austria,3562,"WEF Natural resources pillar, 1-7 (best)",Value,4.07,4.11,4.14
AUT,Austria,3563,"WEF Natural resources pillar, 1-7 (best)",Rank,28,29,24
AUT,Austria,3564,"WEF Cultural resources and business travel, 1-7 (best)",Value,2.92,3.06,3.15
AUT,Austria,3565,"WEF Cultural resources and business travel, 1-7 (best)",Rank,30,29,26
AZE,Azerbaijan,3524,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Value,3.48,3.7,3.8
AZE,Azerbaijan,3525,"WEF Travel & Tourism Competitiveness Index, 1-7 (best)",Rank,84,71,71
AZE,Azerbaijan,3526,"WEF Enabling environment subindex, 1-7 (best)",Value,5.13,5.3,5.44
AZE,Azerbaijan,3527,"WEF Enabling environment subindex, 1-7 (best)",Rank,45,38,37
AZE,Azerbaijan,3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Value,3.91,4.29,4.5
AZE,Azerbaijan,3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)",Rank,93,66,66
AZE,Azerbaijan,3530,"WEF Infrastructure subindex, 1-7 (best)",Value,3.09,3.16,3.23
AZE,Azerbaijan,3531,"WEF Infrastructure subindex, 1-7 (best)",Rank,87,77,79
AZE,Azerbaijan,3532,"WEF Natural and cultural resources subindex, 1-7 (best)",Value,1.78,2.05,2.02
AZE,Azerbaijan,3533,"WEF Natural and cultural resources subindex, 1-7 (best)",Rank,118,100,96
AZE,Azerbaijan,3534,"WEF Business environment, 1-7 (best)",Value,4.45,4.57,5.09
AZE,Azerbaijan,3535,"WEF Business environment, 1-7 (best)",Rank,65,57,28
AZE,Azerbaijan,3536,"WEF Safety and security pillar, 1-7 (best)",Value,5.83,,5.85
